City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
371,sinop,41.7711,34.8709,276.39,97,100,1.25,TR,1706288868
372,dalandzadgad,43.5708,104.425,258.46,59,2,1.15,MN,1706288888
373,kavieng,-2.5744,150.7967,300.42,81,100,0.84,PG,1706288889
374,singrauli,24.1997,82.6753,285.73,44,99,0.45,IN,1706288889
375,codrington,-38.2667,141.9667,286.49,77,74,3.97,AU,1706288889
376,kiunga,-6.1219,141.2906,296.5,99,96,0.92,PG,1706288889
377,quatre cocos,-20.2078,57.7625,298.76,85,61,4.15,MU,1706288889
378,nampula,-15.1165,39.2666,294.36,92,49,2.18,MZ,1706288889
379,roanoke rapids,36.4615,-77.6542,296.47,100,100,5.14,US,1706288890
380,siguiri,11.6667,-9.5,307.55,7,0,2.64,GN,1706288890
381,mezhdurechenskiy,59.6,65.9333,254.09,100,85,0.76,RU,1706288890
382,vilyuchinsk,52.9306,158.4028,266.44,87,100,2.03,RU,1706288890
383,hebi,35.8992,114.1925,272.99,56,8,0.77,CN,1706288890
384,kangding,30.0513,101.9603,270.21,78,60,1.75,CN,1706288890
385,ciudad madero,22.2667,-97.8333,294.26,88,100,0.0,MX,1706288890
386,luderitz,-26.6481,15.1594,296.89,61,37,6.12,NA,1706288891
387,ohara,35.25,140.3833,278.46,48,0,5.84,JP,1706288891
388,hendrina,-26.1588,29.7153,296.07,50,93,4.38,ZA,1706288891
389,san andres,12.5847,-81.7006,303.16,70,20,7.72,CO,1706288891
390,port alfred,-33.5906,26.891,299.92,58,13,1.07,ZA,1706288891
391,wadebridge,50.5173,-4.8363,281.84,70,0,2.57,GB,1706288891
392,peace river,56.2501,-117.286,266.29,100,75,3.09,CA,1706288809
393,tindouf,27.6711,-8.1474,294.91,17,0,7.52,DZ,1706288892
394,shakiso,5.75,38.9167,295.74,42,86,0.74,ET,1706288892
395,grand falls-windsor,48.9332,-55.6649,267.87,55,60,0.45,CA,1706288892
396,yartsevo,55.0667,32.6964,269.31,97,97,2.34,RU,1706288892
397,kristiansund,63.1115,7.732,278.51,70,75,10.8,NO,1706288892
398,kolonia town,6.964,158.206,300.18,70,99,5.1,FM,1706288892
399,kuytun,54.3419,101.5036,248.33,100,36,0.13,RU,1706288893
400,dawson creek,55.7666,-120.2362,276.03,71,81,6.86,CA,1706288893
401,orda,57.1951,56.9091,259.42,95,100,3.14,RU,1706288893
402,christchurch,-43.5333,172.6333,297.26,55,91,12.86,NZ,1706288755
403,paungde,18.4833,95.5,295.38,69,3,1.42,MM,1706288893
404,constantia,44.1833,28.65,275.76,85,93,5.59,RO,1706288676
405,luga,58.7372,29.8453,267.11,97,100,0.83,RU,1706288893
406,chateaudun,48.0833,1.3333,282.01,76,94,3.08,FR,1706288894
407,andergrove,-21.0833,149.1833,301.84,88,97,3.97,AU,1706288894
408,bikenibeu village,1.3673,173.1241,300.13,94,75,1.03,KI,1706288894
409,flying fish cove,-10.4217,105.6791,296.97,94,89,2.06,CX,1706288894
410,kalianget,-7.05,113.9333,299.68,86,98,4.54,ID,1706288894
411,santiago de cuba,20.0247,-75.8219,302.21,58,20,3.09,CU,1706288895
412,buala,-8.145,159.5921,299.46,72,100,1.83,SB,1706288895
413,freetown,8.484,-13.2299,301.9,61,0,4.71,SL,1706288895
414,bodo,67.28,14.405,273.17,83,100,9.26,NO,1706288895
415,egilsstadir,65.2653,-14.3948,268.28,69,80,5.95,IS,1706288895
416,awjilah,29.1081,21.2869,289.61,60,8,4.29,LY,1706288895
417,korla,41.7597,86.1469,264.39,82,4,2.72,CN,1706288895
418,general acha,-37.377,-64.6043,310.16,19,60,9.74,AR,1706288896
419,necochea,-38.5473,-58.7368,307.08,23,23,5.63,AR,1706288896
420,anori,-3.7728,-61.6442,300.04,91,96,1.27,BR,1706288896
421,labasa,-16.4167,179.3833,298.19,88,100,0.76,FJ,1706288896
422,rio grande,-32.035,-52.0986,301.21,58,34,6.8,BR,1706288896
423,laojunmiao,39.8333,97.7333,263.27,36,0,2.01,CN,1706288896
424,cidreira,-30.1811,-50.2056,297.07,67,100,6.04,BR,1706288897
425,quellon,-43.1167,-73.6167,291.01,77,79,3.64,CL,1706288897
426,kuqa,41.7278,82.9364,267.46,53,49,0.26,CN,1706288897
427,sirte,31.2089,16.5887,289.69,75,21,5.4,LY,1706288897
428,kharovsk,59.9642,40.1912,262.51,99,95,0.59,RU,1706288897
429,caleta de carquin,-11.0925,-77.6267,299.47,72,55,4.06,PE,1706288897
430,mokhsogollokh,61.4681,128.9203,252.16,97,100,2.93,RU,1706288898
431,port augusta,-32.5,137.7667,291.02,66,58,6.0,AU,1706288898
432,sona,45.4388,10.8255,282.01,100,75,2.06,IT,1706288898
433,rikaze,29.25,88.8833,269.79,41,92,1.13,CN,1706288715
434,cole harbour,44.6724,-63.4751,272.99,85,100,0.45,CA,1706288898
435,trinidad,-14.8333,-64.9,306.14,62,40,1.54,BO,1706288899
436,port macquarie,-31.4333,152.9167,297.53,86,83,5.8,AU,1706288899
437,sur,22.5667,59.5289,295.5,69,100,7.19,OM,1706288899
438,dabhol,17.6,73.1667,295.76,53,100,2.26,IN,1706288899
439,nagaur,27.2,73.7333,289.5,30,100,4.67,IN,1706288899
440,dunedin,-45.8742,170.5036,289.15,93,93,2.57,NZ,1706288899
441,san felipe,10.3399,-68.7425,303.83,47,76,3.13,VE,1706288899
442,cumnock,55.4544,-4.2664,279.88,85,53,8.02,GB,1706288900
443,sao jose da coroa grande,-8.8978,-35.1478,303.55,64,70,7.17,BR,1706288900
444,mildura,-34.2,142.15,288.75,67,100,6.07,AU,1706288900
445,pyhajarvi,67.0701,27.2176,265.01,93,100,3.22,FI,1706288900
446,taltal,-25.4,-70.4833,296.22,71,9,3.92,CL,1706288900
447,niamey,13.5137,2.1098,301.43,12,0,5.45,NE,1706288849
448,rongelap,11.1635,166.8941,299.15,58,78,4.38,MH,1706288900
449,el obeid,13.1842,30.2167,291.94,19,33,4.9,SD,1706288901
450,lorengau,-2.0226,147.2712,300.69,82,94,2.12,PG,1706288901
451,zhezqazghan,47.7833,67.7667,259.36,89,100,4.2,KZ,1706288901
452,perene,-10.9492,-75.2261,300.48,80,74,1.97,PE,1706288901
453,moramanga,-18.9333,48.2,291.13,98,100,1.41,MG,1706288901
454,uvarovo,51.9849,42.2615,271.1,97,95,4.04,RU,1706288901
455,san julian,21.0167,-102.1667,293.19,25,0,4.37,MX,1706288902
456,ulety,51.3572,112.4849,254.14,94,9,1.44,RU,1706288902
457,ar ruways,24.1103,52.7306,297.29,43,94,3.2,AE,1706288902
458,sinabang,2.4803,96.3801,300.22,82,88,0.96,ID,1706288902
459,tofol,5.3248,163.0078,300.34,73,100,7.34,FM,1706288902
460,nizhniy odes,63.6445,54.856,265.13,97,98,2.34,RU,1706288902
461,sidi moussa,36.6064,3.0878,294.97,49,0,3.09,DZ,1706288902
462,belmonte,-15.8631,-38.8828,300.54,87,99,5.56,BR,1706288903
463,ketchikan,55.3422,-131.6461,281.14,93,100,8.23,US,1706288903
464,guajara mirim,-10.7828,-65.3394,301.24,78,100,2.57,BR,1706288743
465,sebdou,34.637,-1.3314,291.76,24,0,2.54,DZ,1706288903
466,baise city,23.8997,106.6133,285.01,99,99,0.81,CN,1706288903
467,clearwater,27.9659,-82.8001,301.01,79,0,4.63,US,1706288402
468,pursat,12.3333,103.6667,296.34,63,41,1.38,KH,1706288904
469,aljezur,37.3191,-8.8033,290.88,69,100,0.57,PT,1706288904
470,tamiahua,21.2667,-97.45,297.97,74,28,2.27,MX,1706288904
471,nuku'alofa,-21.1333,-175.2,297.34,100,75,1.54,TO,1706288904
472,fort mcmurray,56.7268,-111.381,267.88,93,100,1.54,CA,1706288904
473,tyukhtet,56.5389,89.3011,258.21,88,100,1.66,RU,1706288904
474,olinda,-8.0089,-34.8553,304.0,70,40,5.66,BR,1706288905
475,salahonda,2.1019,-78.7217,300.69,80,94,4.2,CO,1706288905
476,yantzaza,-3.8278,-78.7594,302.38,52,50,1.79,EC,1706288905
477,la mure,44.9026,5.7866,281.02,94,89,3.2,FR,1706288905
478,berezovo,63.9381,65.0419,260.4,95,100,2.25,RU,1706288905
479,greenville,35.6127,-77.3663,296.17,92,100,4.12,US,1706288064
480,la ronge,55.1001,-105.2842,263.9,91,72,1.77,CA,1706288905
481,natal,-5.795,-35.2094,305.51,58,75,7.2,BR,1706288804
482,nagqu,31.5,92.0,260.7,65,100,2.07,CN,1706288715
483,hukumati azrah,34.1736,69.6457,273.34,74,62,0.71,AF,1706288906
484,san pedro de ycuamandiyu,-24.0917,-57.0764,307.24,27,3,2.59,PY,1706288906
485,nizhnevartovsk,60.9344,76.5531,261.16,85,0,2.0,RU,1706288906
486,malpe,13.35,74.7167,299.76,80,74,2.18,IN,1706288906
487,mont-dore,-22.2833,166.5833,294.14,74,100,2.28,NC,1706288906
488,kapiri mposhi,-13.9652,28.6809,292.96,85,67,2.8,ZM,1706288907
489,jindabyne,-36.4167,148.6333,283.47,92,100,0.89,AU,1706288760
490,berlin,52.5244,13.4105,281.98,84,20,12.52,DE,1706288849
491,fada,9.5667,8.3,302.58,15,0,2.03,NG,1706288907
